function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_aio_cancel	c:@F@p101_aio_cancel	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_cancel	c:@F@aio_cancel
p101_aio_error	c:@F@p101_aio_error	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_error	c:@F@aio_error
p101_aio_fsync	c:@F@p101_aio_fsync	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_fsync	c:@F@aio_fsync
p101_aio_read	c:@F@p101_aio_read	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_read	c:@F@aio_read
p101_aio_return	c:@F@p101_aio_return	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_return	c:@F@aio_return
p101_aio_suspend	c:@F@p101_aio_suspend	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_suspend	c:@F@aio_suspend
p101_aio_write	c:@F@p101_aio_write	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h	yes	yes	yes	aio_write	c:@F@aio_write
p101_close	c:@F@p101_close	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	close	c:@F@close
p101_creat	c:@F@p101_creat	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h	yes	yes	yes	creat	c:@F@creat
p101_dup	c:@F@p101_dup	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	dup	c:@F@dup
p101_dup2	c:@F@p101_dup2	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	dup2	c:@F@dup2
p101_fcntl	c:@F@p101_fcntl	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h	yes	yes	yes	fcntl	c:@F@fcntl
p101_fdopen	c:@F@p101_fdopen	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	fdopen	c:@F@fdopen
p101_fileno	c:@F@p101_fileno	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	fileno	c:@F@fileno
p101_flockfile	c:@F@p101_flockfile	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	flockfile	c:@F@flockfile
p101_fmemopen	c:@F@p101_fmemopen	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	fmemopen	c:@F@fmemopen
